"Timestamp","Experiment","Description","Model","ModelSizeGB","ParametersB","Backend","GPU_Layers","PromptTokens","GenerationTokens","Runs","Test","TokensPerSec","StdDev"
"2026-08-25T12:50:55.2013952+09:00","baseline","Q4_K_M with maximum GPU offload","Qwen3-30B-A3B-Q4_K_M","17.28","30.53","CUDA","99","512","128","3","pp512","150.400514","1.408520"
"2026-08-25T12:50:55.2058596+09:00","baseline","Q4_K_M with maximum GPU offload","Qwen3-30B-A3B-Q4_K_M","17.28","30.53","CUDA","99","512","128","3","tg128","7.149827","0.022174"
